"title","station","description","issues","medium","character","url","imageURL","bcastId","documentId"
"Im Knast","","Gefängnis-Sitcom: Drei Freunde schlagen sich durch den Alltag im Knast","2","tv","I","https://www.zdf.de//comedy/im-knast","https://www.zdf.de/assets/im-knast-sendungsteaser-100~1920x1080?cb=1477640707180"
"Inspector Barnaby","ZDF","Neil Dudgeon, Nachfolger von John Nettles, ermittelt als Inspector Barnaby in der fiktiven und mörderischen Grafschaft Midsomer","37","tv","I","https://www.zdf.de//filme/inspector-barnaby","https://www.zdf.de/assets/inspector-barnaby-sendungsteaser-100~1920x1080?cb=1477640754833"
"Jahrhundertprojekt Museumsinsel","ZDF","ZDF-Dokumentation über ein spektakuläres Aufbauprojekt; die Sanierung der fünf Gebäude auf der Museumsinsel in Berlin","47","tv","J","https://www.zdf.de//dokumentation/jahrhundertprojekt-museumsinsel","https://www.zdf.de/assets/sendungsteaser-jahrhundertprojekt-museumsinsel-100~1920x1080?cb=1479736913420"
"Kessler ist","","Michael Kessler schlüpft in die Haut prominenter Zeitgenossen","14","tv","K","https://www.zdf.de//dokumentation/kessler-ist","https://www.zdf.de/assets/kessler-ist-logo-sendungsteaser-100~1920x1080?cb=1478269016499"
"Kindersendungen","KI.KA","Alle Kindersendungen im ZDF","","tv","K","https://www.zdf.de//kinder","https://www.zdf.de/assets/sendungsteaser-tivi-logo-100~1920x1080?cb=1477644432420"
"Das kleine Fernsehspiel","ZDF","Sendungen der Nachwuchsredaktion des ZDF und Informationen zur Redaktion","95","tv","K","https://www.zdf.de//filme/das-kleine-fernsehspiel","https://www.zdf.de/assets/sendungsteaser-das-kleine-fernsehspiel-100~1920x1080?cb=1477557529251"
"Koch im Ohr","ZDF","Über einen Knopf im Ohr dirigieren zwei Spitzenköche Laien, die auf ihre Anweisung Gerichte zubereiten.","21","tv","K","https://www.zdf.de//show/koch-im-ohr","https://www.zdf.de/assets/koch-im-ohr-sendungsteaser-100~1920x1080?cb=1479392472008"
"Kommissar Beck","ZDF","Kommissar Martin Beck (Peter Haber) ermittelt in Stockholm - die Krimiserie basiert auf einer Romanreihe des Autorenpaars Maj Sjöwall und Per Wahlöö.","6","tv","K","https://www.zdf.de//filme/kommissar-beck","https://www.zdf.de/assets/kommissar-beck-sendungsteaser-100~1920x1080?cb=1479387923987"
"Kommissarin Heller","ZDF","Samstagskrimireihe mit Lisa Wagner im ZDF","3","tv","K","https://www.zdf.de//filme/kommissarin-heller","https://www.zdf.de/assets/kommissarin-heller-sendungsteaser-100~1920x1080?cb=1479383613516"
"Kommissarin Lucas","ZDF","Samstagskrimireihe mit Ulrike Kriener im ZDF","7","tv","K","https://www.zdf.de//filme/kommissarin-lucas","https://www.zdf.de/assets/kommissarin-lucas-sendungsteaser-100~1920x1080?cb=1477640888280"
